area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1680,3.0,2.0,101.25193967152401
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,i1rtsCo,1395,3.0,2.0,72.87146911975779
Plot  Area,Ready To Move,Chandapura,4 Bedroom,,1425,3.0,1.0,137.25573523370713
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1540,3.0,1.0,94.59415506480705
Super built-up  Area,Ready To Move,Old Airport Road,4 BHK,Roa 2ha,2671,4.0,,219.41256756438008
Built-up  Area,Ready To Move,Malleshwaram,8 Bedroom,,6700,8.0,0.0,669.6836201472804
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2388,3.0,2.0,176.4329741621066
Plot  Area,Ready To Move,KSRTC Layout,6 Bedroom,,1000,6.0,3.0,182.44563416535837
Super built-up  Area,18-Jul,Ramagondanahalli,2 BHK,ViistLa,1235,2.0,1.0,91.5873786206245
Super built-up  Area,18-Sep,Chandapura,2 BHK,SunceEs,1015,2.0,2.0,28.602829692526583
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,970,2.0,2.0,36.31395599369816
Super built-up  Area,18-Jul,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,54.4761477628703
Plot  Area,18-May,TC Palaya,3 Bedroom,,1200,2.0,0.0,80.37105953458868
Super built-up  Area,Ready To Move,KR Puram,2 BHK,SVlesas,1156,2.0,1.0,41.08466443181699
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,Brtiael,1735,2.0,2.0,78.45703212746614
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,750,2.0,1.0,25.943557196558245
Built-up  Area,Ready To Move,Kattigenahalli,1 BHK,,750,1.0,2.0,63.253768456010405
Built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,1775,3.0,1.0,110.98428991467603
Super built-up  Area,Ready To Move,Kumaraswami Layout,3 BHK,RoisePa,1350,2.0,1.0,53.95957478672028
Super built-up  Area,Ready To Move,Begur Road,2 BHK,DhncyRe,965,2.0,2.0,27.314819895579504
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Gaodsch,1505,3.0,2.0,102.93329251941299
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,Saitya ,1342,2.0,2.0,107.67722689583118
Plot  Area,Ready To Move,Shivaji Nagar,1 Bedroom,,374,1.0,0.0,109.36717403092172
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,3Codeli,2178,3.0,1.0,128.07584171690723
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,85.79664841506663
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580,2.0,1.0,60.297170296195034
Super built-up  Area,Ready To Move,8th Block Jayanagar,4 BHK,Vaisei ,3367,5.0,,377.20185520417266
Built-up  Area,Ready To Move,Whitefield,2 BHK,P acera,1305,2.0,1.0,79.17027062078355
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210,2.0,1.0,53.72734334586666
Built-up  Area,18-Dec,Electronic City,2 BHK,,1090,2.0,1.0,49.67418965713536
Plot  Area,Ready To Move,Srinagar,6 Bedroom,,1800,5.0,2.0,226.07677455361315
Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Sahtsi ,1175,2.0,1.0,63.9252413801541
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Itvir M,1103,2.0,2.0,44.5404366454719
Built-up  Area,Ready To Move,Nagarbhavi,4 Bedroom,,2700,4.0,1.0,195.99689227499732
Super built-up  Area,19-Dec, Bhoganhalli,1 RK,Rosha I,336,1.0,0.0,20.041718986832706
Super built-up  Area,Ready To Move,Bagalur,3 BHK,Krton S,2767,3.0,1.0,156.6960225310034
Plot  Area,Ready To Move,9th Phase JP Nagar,4 Bedroom,,600,4.0,0.0,130.22715100062115
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630,6.0,1.0,263.51614293988587
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2556,3.0,2.0,160.2810656499757
Plot  Area,Ready To Move,Frazer Town,4 Bedroom,,2400,4.0,0.0,330.2963644936819
Super built-up  Area,Ready To Move,BTM Layout,2 BHK,Raide P,1303,2.0,1.0,75.4049637780046
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Rie 2ri,1000,2.0,2.0,33.594390773018475
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1050,2.0,1.0,50.36892332169133
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2504,4.0,1.0,177.95844181420586
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1035,2.0,1.0,63.667469594751104
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Bipan A,1076,2.0,2.0,83.84399417439951
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1200,2.0,2.0,53.416294034055326
Built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Sryalan,1090,2.0,1.0,40.337150270289314
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1180,2.0,2.0,70.68030081717092
Super built-up  Area,21-Dec,Thanisandra,3 BHK,Bhe 2ko,1349,3.0,3.0,82.47838920772816
Built-up  Area,Ready To Move,Thubarahalli,4 Bedroom,Raosehi,2000,4.0,2.0,142.8783483297002
Plot  Area,Ready To Move,Hosa Road,9 Bedroom,,4000,9.0,3.0,404.3291191795464
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450,5.0,2.0,277.4719542224979
Built-up  Area,Ready To Move,Banashankari,4 Bedroom,Bharani,1300,3.0,1.0,101.47550379244942
Built-up  Area,Ready To Move,Devanahalli Road,3 Bedroom,,2424,3.0,3.0,144.12266891439472
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Bhncy R,1230,2.0,2.0,63.31376398688333
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119,4.0,3.0,143.98795575064509
Super built-up  Area,Ready To Move,Lakshmi Layout,3 BHK,,1600,3.0,,64.73591729694385
Super built-up  Area,Ready To Move, Hoodi,1 BHK,Aklon A,750,1.0,1.0,33.661367735962756
Super built-up  Area,Ready To Move,Whitefield,2 BHK,MKensi ,1225,2.0,2.0,72.92671406818181
Built-up  Area,18-Apr,Doddaballapur,1 Bedroom,,5Acres,1.0,0.0,27.919310398254368
Plot  Area,Ready To Move,nynappanahalli,3 Bedroom,,3600,3.0,1.0,285.9293450763416
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,,1350,2.0,1.0,71.10997912502643
Super built-up  Area,Ready To Move,Thirupalya,2 BHK,Pao 2Sm,1025,2.0,1.0,66.43423926907275
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,920,2.0,1.0,28.720038036715167
Super built-up  Area,Ready To Move,Narayanappa Garden,2 BHK,Vacle P,1140,2.0,2.0,61.24074650938661
Plot  Area,Ready To Move,Sector 3 HSR Layout,1 Bedroom,,1200,1.0,,95.04577913569119
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1350,2.0,2.0,79.16675087654541
Built-up  Area,Ready To Move,Subramanyapura,3 BHK,NaersSh,1750,3.0,2.0,106.06026789148146
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Goty  E,638,1.0,1.0,6.58351410738689
Super built-up  Area,18-Apr,EPIP Zone,2 BHK,BrontLa,1130,2.0,1.0,65.84250849262628
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984,4.0,1.0,156.69755218993208
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Krryll ,1163,2.0,3.0,35.42341371348169
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1390,2.0,3.0,67.56067944843107
Super built-up  Area,Ready To Move,Nandini Layout,1 BHK,,400,1.0,1.0,24.310169900555692
Super built-up  Area,Ready To Move,Chandra Layout,2 BHK,,864,2.0,1.0,68.73456636663248
Super built-up  Area,18-Nov,Kengeri,1 BHK,VBn 2lm,540,1.0,1.0,5.0187344652755
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,950,2.0,2.0,30.606717669298845
Super built-up  Area,18-Nov,Govindpura,2 BHK,,1171,2.0,1.0,27.735436504679896
Plot  Area,Ready To Move,Sadanand Nagar,3 Bedroom,,3075,3.0,1.0,359.28220916396765
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1692,3.0,2.0,86.78611964827178
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3321,4.0,2.0,388.26232883768284
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1140,2.0,1.0,55.970538577013784
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,1.0,59.74209767583247
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,700,2.0,0.0,69.52615681841706
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Dyayash,1485,3.0,2.0,86.18578380134585
Super built-up  Area,18-May,Rachenahalli,1 BHK,AsNowre,660 - 690,1.0,0.0,16.15045996305369
Built-up  Area,Ready To Move,Kothannur,2 BHK,,1090,2.0,3.0,24.367303998503246
Carpet  Area,20-Dec,Kanakpura Road,3 BHK,Roiti A,978,3.0,0.0,76.91972317856357
Super built-up  Area,15-Oct,Jeevanhalli,3 BHK,Moersrm,2200,4.0,,157.0257410773982
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1700,3.0,2.0,116.30611452473667
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,1200,4.0,,172.94234608713808
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,3.0,89.99841443551739
Super built-up  Area,18-Aug,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,117.85946056501871
Super built-up  Area,Ready To Move,Gottigere,2 BHK,,1230,2.0,2.0,40.970333811090796
Built-up  Area,18-Aug,Battarahalli,3 BHK,PaontWa,2082,3.0,2.0,101.22048280350012
Built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,2.0,50.5370662178143
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1100,2.0,2.0,51.7714664300112
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,71.37403697490691
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,909,2.0,0.0,57.25954129671999
Super built-up  Area,Ready To Move,Whitefield,3 BHK,,1380,3.0,1.0,103.34564990266178
Built-up  Area,Ready To Move,Telecom Layout,3 Bedroom,,2140,4.0,1.0,157.6308564093368
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Octons ,1309,2.0,,72.8980431480251
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,48.62811114087437
Plot  Area,18-Feb,Sarjapur  Road,4 Bedroom,,2650,4.0,2.0,253.2465025542059
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,,1150,2.0,2.0,136.69683167669692
Built-up  Area,Ready To Move,Pulkeshi Nagar,5 BHK,ElaleSp,3500,5.0,,260.6345636224781
Super built-up  Area,Ready To Move,Thirupalya,1 BHK,Pao 2Sm,675,1.0,1.0,28.483106381871792
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Brods W,1333,3.0,1.0,72.89913902260821
Built-up  Area,19-Dec,"Hoodi Circle, ",3 BHK,,1545,3.0,2.0,93.81532450189965
Super built-up  Area,Ready To Move,Sanjay nagar,3 BHK,,1500,3.0,1.0,129.45828382943654
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Soiniy ,1697,3.0,2.0,108.88166462712908
Plot  Area,Ready To Move,Koppa village,6 Bedroom,,1000,5.0,1.0,193.56185526546028
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,,2735,3.0,3.0,151.66791733886373
Built-up  Area,Ready To Move,T Dasarahalli,1 Bedroom,,480,1.0,0.0,34.9013244786165
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2171,4.0,2.0,148.78607143125055
Plot  Area,Ready To Move,Hormavu,4 Bedroom,,3054,4.0,1.0,252.54524814075108
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,SheldGr,1165 - 1225,2.0,0.0,55.18079929718925
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,,1214,2.0,2.0,40.281661393895945
Super built-up  Area,Ready To Move,Dena Bank Colony,1 BHK,AlentAp,570,1.0,2.0,19.737591950066076
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,MJiyayl,1249,2.0,2.0,68.65220183801151
Built-up  Area,Ready To Move,R.T. Nagar,2 BHK,,1000,2.0,2.0,62.27100424929485
Super built-up  Area,19-Dec,Binny Pete,4 BHK,Shestlo,2695 - 2940,,,135.7502269416748
Super built-up  Area,17-Nov,Sarjapur  Road,3 BHK,PualeSk,1924,4.0,1.0,153.70233452191758
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,50.29761589611489
Built-up  Area,Ready To Move,"Varthur Road, ",1 BHK,,663,1.0,1.0,10.1028649295517
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,SJarkte,1730,3.0,1.0,125.92661918784182
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,1145,2.0,1.0,41.846854115214896
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1304,2.0,2.0,47.849692499486196
Super built-up  Area,21-Dec,Hebbal,3 BHK,Raard B,1645,3.0,2.0,139.3421953731934
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Soiewre,2247,4.0,2.0,157.66884657381144
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,,1152,3.0,1.0,73.70141009175282
Built-up  Area,Ready To Move,"yelahanka, north",3 BHK,,1512,2.0,2.0,86.4922903576425
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,,2830,4.0,0.0,297.7717641061863
Super built-up  Area,Ready To Move,Ittamadu,2 BHK,,1080,2.0,0.0,35.72370903054723
Plot  Area,Ready To Move,Whitefield,5 Bedroom,PrOakSi,2200,5.0,0.0,256.477689843542
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608,3.0,3.0,81.30223147288312
Built-up  Area,Ready To Move,Hebbal,2 BHK,,1068,2.0,1.0,92.30908863725318
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,1200,4.0,1.0,163.2811904318074
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Gencysi,2100,3.0,2.0,214.94633179743641
Super built-up  Area,Ready To Move,Jakkur,3 BHK,,1711,3.0,1.0,135.28824101386815
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Keers S,1769,3.0,3.0,104.64790770974695
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,1650,3.0,2.0,98.28510306117978
Super built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,,4000,2.0,1.0,179.7641927294472
Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,,1010,2.0,1.0,43.96100245714008
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,AriosPa,1145,2.0,2.0,56.19502130951274
Super built-up  Area,Ready To Move,Doopanahalli,3 BHK,VancyRe,2050,4.0,1.0,198.37833628734933
Plot  Area,Ready To Move,kg halli hidayat nagar,6 Bedroom,,600,3.0,3.0,121.16558940551013
Super built-up  Area,Ready To Move,Srinivasa Nagar,4 BHK,,3500,4.0,3.0,218.41891624832692
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,2.0,47.40040984928402
Built-up  Area,Ready To Move,Kauser Nagar,9 BHK,,4000,8.0,,337.9726826706613
Plot  Area,Ready To Move,Whitefield,4 Bedroom,SarkkHy,2660,3.0,2.0,230.5456610696176
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,51.52348821995507
Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,5576,6.0,3.0,545.7546169642601
Super built-up  Area,19-Dec,Hoodi,3 BHK,,1350,3.0,2.0,85.9335646964384
Plot  Area,Ready To Move,Hulimavu,9 Bedroom,,1200,9.0,1.0,276.2297002897604
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,110.45195319893972
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Prncy R,1180,2.0,2.0,45.391239843556335
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,2666,4.0,1.0,208.09782522359185
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1194,2.0,1.0,60.80053422774884
Super built-up  Area,Ready To Move,Bellandur ORR,4 BHK,,3335,4.0,3.0,219.73789766761814
Plot  Area,Ready To Move,Sector 2 HSR Layout,1 Bedroom,,900,1.0,1.0,97.19127408819085
Built-up  Area,Ready To Move,Ulsoor,2 BHK,,900,2.0,0.0,67.25785700208556
Plot  Area,Ready To Move, Devarachikkanahalli,5 Bedroom,,1960,6.0,,244.18720126382817
Plot  Area,Ready To Move,Dodda Nekkundi,4 Bedroom,FeisePa,4000,5.0,,356.79385289853394
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gaent R,882,2.0,2.0,32.5210756724117
Built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,,1150,2.0,2.0,48.232162759119845
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2600,3.0,2.0,187.01607658909126
Built-up  Area,Ready To Move,Kengeri,1 BHK,,405,1.0,0.0,9.508041223059095
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,42.15586356590204
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,MBncyh ,1485,2.0,2.0,80.77548416845605
Built-up  Area,Ready To Move,MCECHS  layout,2 BHK,,1150,2.0,2.0,46.87668957796929
Super built-up  Area,18-Dec,Lalbagh Road,3 BHK,,2485,3.0,2.0,224.17347902210548
Super built-up  Area,Ready To Move,2nd Block Koramangala,2 BHK,,1200,2.0,1.0,361.3185981232217
Super built-up  Area,18-Oct,Vidyapeeta,2 BHK,,1095,2.0,2.0,48.511543222221604
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,Alestrb,1314,2.0,1.0,51.53939097200431
Super built-up  Area,Ready To Move,Naidu Layout,2 BHK,,1180,2.0,1.0,58.11348179927383
Plot  Area,Ready To Move,Uttarahalli,7 Bedroom,,1750,7.0,0.0,251.64096696045561
Super built-up  Area,19-Jan,Gunjur,2 BHK,,1304,2.0,1.0,68.8979530608693
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,NiarkHy,1222,2.0,1.0,61.404875694944906
Plot  Area,Ready To Move,Bhuvaneswari Nagar,5 Bedroom,,1410,4.0,,179.3567749468986
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Fea 3Al,880,3.0,0.0,122.22359889894717
Super built-up  Area,Ready To Move,Wilson Garden,3 BHK,SaageWi,2163,3.0,,202.23849945335422
Super built-up  Area,Ready To Move,Jeevanhalli,2 BHK,Puarka ,1200,2.0,2.0,58.21008238178699
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,1975 - 2289,3.0,0.0,141.11132281705915
Super built-up  Area,18-Jul,Iblur Village,3 BHK,DNionfl,1920,3.0,2.0,144.6432115146846
Super built-up  Area,Ready To Move,Bagalur Main Road,2 BHK,,1197,2.0,2.0,70.89390757808593
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1245,2.0,2.0,62.82875180052969
Super built-up  Area,18-Aug,Balagere,2 BHK,Soresea,1007,2.0,1.0,66.12073255323708
Super built-up  Area,18-Mar,Rajarajeshwari Nagar,3 BHK,,1410,2.0,2.0,81.35274769509499
Super built-up  Area,Ready To Move,Chandapura,2 BHK,,950,2.0,0.0,29.762531288829976
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1050,2.0,2.0,63.37889329746309
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,,1478,2.0,2.0,80.42604210718768
Super built-up  Area,Ready To Move,kanakapura main road,3 BHK,,1425,2.0,2.0,65.98795048729085
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1275,2.0,2.0,48.55929492649982
Built-up  Area,Ready To Move,Munnekollal,2 BHK,Akave E,1200,2.0,1.0,28.625011295041432
Built-up  Area,Ready To Move,Kammanahalli,8 Bedroom,,5540,6.0,,356.3873111436014
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1245,2.0,3.0,73.92137886902826
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Mantsm ,1133,2.0,1.0,56.82409134166252
Super built-up  Area,18-Dec,Kathreguppe,3 BHK,,1650,3.0,3.0,415.69341717274006
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Puitea ,1200,3.0,1.0,56.572673727365995
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,,900,2.0,1.0,124.93785716164619
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,993,2.0,1.0,40.21681609964199
Super built-up  Area,18-Feb,Panathur,1 BHK,,661,2.0,1.0,46.32936175576461
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1101,2.0,2.0,74.39259872510306
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Manetr ,785,2.0,1.0,29.559572798607917
Plot  Area,Ready To Move,Mysore Road,5 Bedroom,,1200,3.0,2.0,140.86047691649804
Super built-up  Area,Ready To Move,Vijaya Bank Layout,2 BHK,,1200,2.0,1.0,101.75718052835799
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1120,2.0,1.0,39.287533831008275
Super built-up  Area,18-Oct,Varthur,2 BHK,Soamsay,1210,2.0,1.0,50.04787619354293
Super built-up  Area,18-May,Electronic City Phase II,4 BHK,SNbay G,2150,4.0,2.0,131.96078905752935
Plot  Area,Ready To Move,Sundara Nagar,4 Bedroom,,1450,4.0,2.0,186.54472133199175
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1000,2.0,1.0,35.79665114134471
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1197,2.0,1.0,73.77887881835741
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shiaa S,695,1.0,1.0,9.929775872809756
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2.0,1.0,109.83335966268226
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,,1565,2.0,1.0,70.30667803831906
Super built-up  Area,Ready To Move,Sultan Palaya,4 BHK,RSntsAp,2200,3.0,3.0,114.16908338962264
Super built-up  Area,Ready To Move,Herohalli,2 BHK,,1200,2.0,1.0,34.84485072521261
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047,2.0,1.0,83.08393806743985
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,,1375,2.0,2.0,69.8661157006725
Plot  Area,Ready To Move,MS Pallya,2 Bedroom,,990,1.0,1.0,45.246823274004456
Built-up  Area,Ready To Move,Bagalur,4 BHK,Krton S,2400,4.0,2.0,156.69971654402732
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,52.93587417355029
Super built-up  Area,Ready To Move,Shanthinagar,2 BHK,,1080,2.0,2.0,68.41183436549932
Built-up  Area,Ready To Move,Omkar Nagar,3 BHK,,1200,3.0,2.0,77.28858430641897
Super built-up  Area,17-May,Chikkalasandra,3 BHK,,1348,2.0,1.0,68.5641962588505
Built-up  Area,18-Apr,Whitefield,2 BHK,,1170,2.0,1.0,72.43103086775086
Super built-up  Area,Ready To Move,Chandapura,2 BHK,PavesGr,806,2.0,2.0,18.169488148942648
Super built-up  Area,20-Dec,Jakkur,2 BHK,ArndsSk,1245,2.0,1.0,91.54635396850577
Built-up  Area,Ready To Move,"Sarjapur Road, ",4 Bedroom,,2200,4.0,3.0,167.2047294963672
Plot  Area,Ready To Move,Tumkur Road,6 Bedroom,,1200,5.0,2.0,188.73030709387376
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Brway G,1370,3.0,2.0,268.700491808388
Carpet  Area,Ready To Move,Thanisandra,2 BHK,R ra  R,1449,2.0,2.0,77.3721624347954
Super built-up  Area,18-May,Kumbena Agrahara,3 BHK,,1355,3.0,,80.61636974813871
Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,,1240,2.0,3.0,62.76553978385071
Super built-up  Area,18-May,Devanahalli,3 BHK,Cerdsga,1290,2.0,1.0,71.11829450081015
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,71.02828267449024
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1212,2.0,1.0,59.373807438090466
Super built-up  Area,19-Dec,Chandapura,3 BHK,SuVue S,1225,3.0,1.0,61.767381722686565
Built-up  Area,Ready To Move,Hebbal,2 BHK,Arsil B,1070,2.0,2.0,90.20666885786078
Built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,,1974,3.0,2.0,115.50361087985851
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PualeSk,1711,3.0,1.0,119.0574981321989
Built-up  Area,Ready To Move,Jalahalli West,1 BHK,Prntsax,460,1.0,1.0,11.220466584414453
Built-up  Area,17-Sep,Thanisandra,2 BHK,Bhmesy ,1276,2.0,2.0,60.60511088310996
Built-up  Area,18-May,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168,2.0,1.0,43.31046544723564
Super built-up  Area,Ready To Move,MS Pallya,2 BHK,,1200,2.0,0.0,12.907080686525589
Plot  Area,Ready To Move,Canara Bank Colony,9 Bedroom,,1650,9.0,3.0,290.0512700629663
Super built-up  Area,Ready To Move,Cunningham Road,4 BHK,,5400,4.0,3.0,852.5190889616089
Plot  Area,Ready To Move,Old Madras Road,9 Bedroom,,750,9.0,3.0,238.74977438303944
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,SSaleRo,1025,2.0,1.0,47.83047664854196
Super built-up  Area,18-Dec,Hebbal,3 BHK,SNontle,2526,3.0,2.0,183.32197479854003
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1853,3.0,2.0,111.0434728132935
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Kuownri,905,2.0,2.0,51.148463405190896
Plot  Area,Ready To Move,Hulimavu,5 Bedroom,,1500,5.0,3.0,204.885148598049
Super built-up  Area,18-Dec,Hebbal,3 BHK,Cehosy ,3485,5.0,2.0,279.2191645288397
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,35.80519469955891
Super built-up  Area,Ready To Move,Banashankari,3 BHK,V2anags,1440,2.0,,90.13990293543718
Super built-up  Area,Ready To Move,Hosur Road,4 BHK,Saageat,2800,4.0,2.0,182.54329916886718
Super built-up  Area,Ready To Move,Anekal,2 BHK,,732,1.0,2.0,24.202131827347458
Plot  Area,Ready To Move,Kothannur,4 Bedroom,,1200,5.0,,170.42459664587497
Super built-up  Area,Ready To Move,Hosapalya,9 BHK,,3000,9.0,,285.2619226803768
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,950,2.0,1.0,30.801083771633785
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098,2.0,2.0,51.671625841077386
Plot  Area,Ready To Move,Hegganahalli,3 Bedroom,,700,2.0,2.0,83.71510237093673
