area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1680,3.0,2.0,118.24769764731928
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,i1rtsCo,1395,3.0,2.0,101.95573472098484
Plot  Area,Ready To Move,Chandapura,4 Bedroom,,1425,3.0,1.0,157.59837024965339
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1540,3.0,1.0,111.05573035436471
Super built-up  Area,Ready To Move,Old Airport Road,4 BHK,Roa 2ha,2671,4.0,,199.91717243939718
Built-up  Area,Ready To Move,Malleshwaram,8 Bedroom,,6700,8.0,0.0,523.821964732809
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2388,3.0,2.0,158.7203634432659
Plot  Area,Ready To Move,KSRTC Layout,6 Bedroom,,1000,6.0,3.0,202.48974927575577
Super built-up  Area,18-Jul,Ramagondanahalli,2 BHK,ViistLa,1235,2.0,1.0,70.22350057932184
Super built-up  Area,18-Sep,Chandapura,2 BHK,SunceEs,1015,2.0,2.0,56.83614628111709
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,970,2.0,2.0,54.26373108222218
Super built-up  Area,18-Jul,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,69.65185275734518
Plot  Area,18-May,TC Palaya,3 Bedroom,,1200,2.0,0.0,122.15042526514216
Super built-up  Area,Ready To Move,KR Puram,2 BHK,SVlesas,1156,2.0,1.0,65.70748278570633
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,Brtiael,1735,2.0,2.0,97.37708718815419
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,750,2.0,1.0,42.49858121345444
Built-up  Area,Ready To Move,Kattigenahalli,1 BHK,,750,1.0,2.0,18.290507793980794
Built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,1775,3.0,1.0,124.48945417081593
Super built-up  Area,Ready To Move,Kumaraswami Layout,3 BHK,RoisePa,1350,2.0,1.0,76.17974825677176
Super built-up  Area,Ready To Move,Begur Road,2 BHK,DhncyRe,965,2.0,2.0,53.97790717123385
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Gaodsch,1505,3.0,2.0,108.24386076272795
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,Saitya ,1342,2.0,2.0,75.52903005975347
Plot  Area,Ready To Move,Shivaji Nagar,1 Bedroom,,374,1.0,0.0,52.153046240397465
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,3Codeli,2178,3.0,1.0,147.52686139647483
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,104.40302509153322
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580,2.0,1.0,89.32764816223465
Super built-up  Area,Ready To Move,8th Block Jayanagar,4 BHK,Vaisei ,3367,5.0,,263.7185343290085
Built-up  Area,Ready To Move,Whitefield,2 BHK,P acera,1305,2.0,1.0,74.22503533315836
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210,2.0,1.0,68.79438102438021
Built-up  Area,18-Dec,Electronic City,2 BHK,,1090,2.0,1.0,61.934607160660455
Plot  Area,Ready To Move,Srinagar,6 Bedroom,,1800,5.0,2.0,225.01800376856943
Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Sahtsi ,1175,2.0,1.0,66.79361364746195
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Itvir M,1103,2.0,2.0,61.24894483923007
Built-up  Area,Ready To Move,Nagarbhavi,4 Bedroom,,2700,4.0,1.0,200.76384890841095
Super built-up  Area,19-Dec, Bhoganhalli,1 RK,Rosha I,336,1.0,0.0,3.753507606415411
Super built-up  Area,Ready To Move,Bagalur,3 BHK,Krton S,2767,3.0,1.0,181.19691811089936
Plot  Area,Ready To Move,9th Phase JP Nagar,4 Bedroom,,600,4.0,0.0,135.2632006313351
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630,6.0,1.0,301.95644331231244
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2556,3.0,2.0,168.3240468524736
Plot  Area,Ready To Move,Frazer Town,4 Bedroom,,2400,4.0,0.0,238.15980858713166
Super built-up  Area,Ready To Move,BTM Layout,2 BHK,Raide P,1303,2.0,1.0,74.11070576876304
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Rie 2ri,1000,2.0,2.0,55.97867454815212
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1050,2.0,1.0,59.64801587275385
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2504,4.0,1.0,189.55955159766867
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1035,2.0,1.0,58.790544139788885
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Bipan A,1076,2.0,2.0,60.32319799517464
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1200,2.0,2.0,67.41163098768507
Built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Sryalan,1090,2.0,1.0,61.934607160660455
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1180,2.0,2.0,66.26833534373178
Super built-up  Area,21-Dec,Thanisandra,3 BHK,Bhe 2ko,1349,3.0,3.0,98.51505252517376
Built-up  Area,Ready To Move,Thubarahalli,4 Bedroom,Raosehi,2000,4.0,2.0,159.93739915532714
Plot  Area,Ready To Move,Hosa Road,9 Bedroom,,4000,9.0,3.0,444.1750094830155
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450,5.0,2.0,267.4587090972592
Built-up  Area,Ready To Move,Banashankari,4 Bedroom,Bharani,1300,3.0,1.0,96.71848035164366
Built-up  Area,Ready To Move,Devanahalli Road,3 Bedroom,,2424,3.0,3.0,159.96719338766334
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Bhncy R,1230,2.0,2.0,69.126574453615
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119,4.0,3.0,165.92890602213075
Super built-up  Area,Ready To Move,Lakshmi Layout,3 BHK,,1600,3.0,,115.2967195009431
Super built-up  Area,Ready To Move, Hoodi,1 BHK,Aklon A,750,1.0,1.0,19.101610008699296
Super built-up  Area,Ready To Move,Whitefield,2 BHK,MKensi ,1225,2.0,2.0,68.8407505426267
Built-up  Area,18-Apr,Doddaballapur,1 Bedroom,,5Acres,1.0,0.0,50.21004678818011
Plot  Area,Ready To Move,nynappanahalli,3 Bedroom,,3600,3.0,1.0,282.54947380485567
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,,1350,2.0,1.0,76.17974825677176
Super built-up  Area,Ready To Move,Thirupalya,2 BHK,Pao 2Sm,1025,2.0,1.0,58.218896317812245
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,920,2.0,1.0,52.216594187057446
Super built-up  Area,Ready To Move,Narayanappa Garden,2 BHK,Vacle P,1140,2.0,2.0,63.98174405582518
Plot  Area,Ready To Move,Sector 3 HSR Layout,1 Bedroom,,1200,1.0,,99.37115633566854
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1350,2.0,2.0,75.98634831733479
Built-up  Area,Ready To Move,Subramanyapura,3 BHK,NaersSh,1750,3.0,2.0,122.24923240115581
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Goty  E,638,1.0,1.0,12.69915440256085
Super built-up  Area,18-Apr,EPIP Zone,2 BHK,BrontLa,1130,2.0,1.0,64.22119844856704
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984,4.0,1.0,160.4515671301645
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Krryll ,1163,2.0,3.0,64.48543183165297
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1390,2.0,3.0,76.84413511524136
Super built-up  Area,Ready To Move,Nandini Layout,1 BHK,,400,1.0,1.0,0.906063760483363
Super built-up  Area,Ready To Move,Chandra Layout,2 BHK,,864,2.0,1.0,49.01536638398821
Super built-up  Area,18-Nov,Kengeri,1 BHK,VBn 2lm,540,1.0,1.0,7.097005747189698
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,950,2.0,2.0,53.120435438268885
Super built-up  Area,18-Nov,Govindpura,2 BHK,,1171,2.0,1.0,66.5649545186713
Plot  Area,Ready To Move,Sadanand Nagar,3 Bedroom,,3075,3.0,1.0,252.5379631510817
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1692,3.0,2.0,118.93367503369126
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3321,4.0,2.0,235.45207643844225
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1140,2.0,1.0,64.79284627054369
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,1.0,71.03491785898194
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,700,2.0,0.0,40.45144431828968
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Dyayash,1485,3.0,2.0,107.10056511877465
Super built-up  Area,18-May,Rachenahalli,1 BHK,AsNowre,660 - 690,1.0,0.0,15.625353558592948
Built-up  Area,Ready To Move,Kothannur,2 BHK,,1090,2.0,3.0,60.31240273122346
Carpet  Area,20-Dec,Kanakpura Road,3 BHK,Roiti A,978,3.0,0.0,79.74022497399562
Super built-up  Area,15-Oct,Jeevanhalli,3 BHK,Moersrm,2200,4.0,,173.6102622995786
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1700,3.0,2.0,119.39099329127258
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,1200,4.0,,169.56206994993397
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,3.0,105.0890024779052
Super built-up  Area,18-Aug,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,125.33613063982972
Super built-up  Area,Ready To Move,Gottigere,2 BHK,,1230,2.0,2.0,69.126574453615
Built-up  Area,18-Aug,Battarahalli,3 BHK,PaontWa,2082,3.0,2.0,141.22794009078052
Built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,2.0,83.94336337170297
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1100,2.0,2.0,61.69515276791859
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,85.65830683763292
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,909,2.0,0.0,51.78118152232011
Super built-up  Area,Ready To Move,Whitefield,3 BHK,,1380,3.0,1.0,101.90936520273836
Built-up  Area,Ready To Move,Telecom Layout,3 Bedroom,,2140,4.0,1.0,169.36927315300022
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Octons ,1309,2.0,,75.26479667666752
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,60.791311516707154
Plot  Area,18-Feb,Sarjapur  Road,4 Bedroom,,2650,4.0,2.0,250.82879970711082
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,,1150,2.0,2.0,64.55339187780183
Built-up  Area,Ready To Move,Pulkeshi Nagar,5 BHK,ElaleSp,3500,5.0,,270.7037480860164
Super built-up  Area,Ready To Move,Thirupalya,1 BHK,Pao 2Sm,675,1.0,1.0,14.814251343874446
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Brods W,1333,3.0,1.0,99.22262043944811
Built-up  Area,19-Dec,"Hoodi Circle, ",3 BHK,,1545,3.0,2.0,110.53045205063454
Super built-up  Area,Ready To Move,Sanjay nagar,3 BHK,,1500,3.0,1.0,108.76913906645812
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Soiniy ,1697,3.0,2.0,119.21949894467959
Plot  Area,Ready To Move,Koppa village,6 Bedroom,,1000,5.0,1.0,180.0972802251561
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,,2735,3.0,3.0,177.74544065113707
Built-up  Area,Ready To Move,T Dasarahalli,1 Bedroom,,480,1.0,0.0,4.478221030048317
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2171,4.0,2.0,169.7125769111278
Plot  Area,Ready To Move,Hormavu,4 Bedroom,,3054,4.0,1.0,274.7344739296859
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,SheldGr,1165 - 1225,2.0,0.0,68.74801150613374
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,,1214,2.0,2.0,67.59423566317085
Super built-up  Area,Ready To Move,Dena Bank Colony,1 BHK,AlentAp,570,1.0,2.0,8.000846998401144
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,MJiyayl,1249,2.0,2.0,70.21270531537064
Built-up  Area,Ready To Move,R.T. Nagar,2 BHK,,1000,2.0,2.0,55.97867454815212
Super built-up  Area,19-Dec,Binny Pete,4 BHK,Shestlo,2695 - 2940,,,112.23311911120844
Super built-up  Area,17-Nov,Sarjapur  Road,3 BHK,PualeSk,1924,4.0,1.0,157.02168019830464
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,64.72488622439482
Built-up  Area,Ready To Move,"Varthur Road, ",1 BHK,,663,1.0,1.0,14.128273957502472
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,SJarkte,1730,3.0,1.0,121.91703897192102
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,1145,2.0,1.0,64.46096790625049
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1304,2.0,2.0,73.3567683362422
Super built-up  Area,21-Dec,Hebbal,3 BHK,Raard B,1645,3.0,2.0,116.24693027040101
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Soiewre,2247,4.0,2.0,174.0571003581503
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,,1152,3.0,1.0,88.8757948616708
Built-up  Area,Ready To Move,"yelahanka, north",3 BHK,,1512,2.0,2.0,84.62934075807496
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,,2830,4.0,0.0,209.00637280882586
Super built-up  Area,Ready To Move,Ittamadu,2 BHK,,1080,2.0,0.0,62.174061553402304
Plot  Area,Ready To Move,Whitefield,5 Bedroom,PrOakSi,2200,5.0,0.0,250.12382335235384
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608,3.0,3.0,113.32073111436893
Built-up  Area,Ready To Move,Hebbal,2 BHK,,1068,2.0,1.0,60.67698195231183
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,1200,4.0,1.0,168.75096773521545
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Gencysi,2100,3.0,2.0,142.25690617033848
Super built-up  Area,Ready To Move,Jakkur,3 BHK,,1711,3.0,1.0,120.83090811016538
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Keers S,1769,3.0,3.0,122.52426104819294
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,1650,3.0,2.0,116.53275418138934
Super built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,,4000,2.0,1.0,228.28412335586484
Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,,1010,2.0,1.0,57.36142458484727
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,AriosPa,1145,2.0,2.0,64.2675679668135
Super built-up  Area,Ready To Move,Doopanahalli,3 BHK,VancyRe,2050,4.0,1.0,164.2244427552104
Plot  Area,Ready To Move,kg halli hidayat nagar,6 Bedroom,,600,3.0,3.0,107.57981595657994
Super built-up  Area,Ready To Move,Srinivasa Nagar,4 BHK,,3500,4.0,3.0,244.87347023710575
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,2.0,72.84228529646322
Built-up  Area,Ready To Move,Kauser Nagar,9 BHK,,4000,8.0,,368.85935052383263
Plot  Area,Ready To Move,Whitefield,4 Bedroom,SarkkHy,2660,3.0,2.0,227.3857740490508
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,64.10686888417172
Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,5576,6.0,3.0,411.5769050395311
Super built-up  Area,19-Dec,Hoodi,3 BHK,,1350,3.0,2.0,99.38331952208992
Plot  Area,Ready To Move,Hulimavu,9 Bedroom,,1200,9.0,1.0,285.73582375899116
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,130.96971992540958
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Prncy R,1180,2.0,2.0,66.26833534373178
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,2666,4.0,1.0,199.43794858897186
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1194,2.0,1.0,67.87974450921757
Super built-up  Area,Ready To Move,Bellandur ORR,4 BHK,,3335,4.0,3.0,235.44128117449108
Plot  Area,Ready To Move,Sector 2 HSR Layout,1 Bedroom,,900,1.0,1.0,81.41061946165061
Built-up  Area,Ready To Move,Ulsoor,2 BHK,,900,2.0,0.0,51.88440075782265
Plot  Area,Ready To Move, Devarachikkanahalli,5 Bedroom,,1960,6.0,,260.4189491049509
Plot  Area,Ready To Move,Dodda Nekkundi,4 Bedroom,FeisePa,4000,5.0,,353.6381335834319
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gaent R,882,2.0,2.0,49.23323024882768
Built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,,1150,2.0,2.0,64.55339187780183
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2600,3.0,2.0,170.83929726917086
Built-up  Area,Ready To Move,Kengeri,1 BHK,,405,1.0,0.0,0.19086236522346667
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,67.06864229449909
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,MBncyh ,1485,2.0,2.0,83.085891638738
Built-up  Area,Ready To Move,MCECHS  layout,2 BHK,,1150,2.0,2.0,64.55339187780183
Super built-up  Area,18-Dec,Lalbagh Road,3 BHK,,2485,3.0,2.0,164.2653473164394
Super built-up  Area,Ready To Move,2nd Block Koramangala,2 BHK,,1200,2.0,1.0,68.22273320240356
Super built-up  Area,18-Oct,Vidyapeeta,2 BHK,,1095,2.0,2.0,61.40932885693027
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,Alestrb,1314,2.0,1.0,74.73951837293734
Super built-up  Area,Ready To Move,Naidu Layout,2 BHK,,1180,2.0,1.0,67.07943755845028
Plot  Area,Ready To Move,Uttarahalli,7 Bedroom,,1750,7.0,0.0,271.193613772915
Super built-up  Area,19-Jan,Gunjur,2 BHK,,1304,2.0,1.0,74.1678705509607
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,NiarkHy,1222,2.0,1.0,68.86265613547067
Plot  Area,Ready To Move,Bhuvaneswari Nagar,5 Bedroom,,1410,4.0,,180.94897193616202
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Fea 3Al,880,3.0,0.0,74.755778593906
Super built-up  Area,Ready To Move,Wilson Garden,3 BHK,SaageWi,2163,3.0,,147.48049187822835
Super built-up  Area,Ready To Move,Jeevanhalli,2 BHK,Puarka ,1200,2.0,2.0,67.41163098768507
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,1975 - 2289,3.0,0.0,145.70838363010074
Super built-up  Area,18-Jul,Iblur Village,3 BHK,DNionfl,1920,3.0,2.0,131.96724537475882
Super built-up  Area,Ready To Move,Bagalur Main Road,2 BHK,,1197,2.0,2.0,67.24013664109208
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1245,2.0,2.0,69.98404618657997
Super built-up  Area,18-Aug,Balagere,2 BHK,Soresea,1007,2.0,1.0,57.18993023825428
Super built-up  Area,18-Mar,Rajarajeshwari Nagar,3 BHK,,1410,2.0,2.0,78.79853297391315
Super built-up  Area,Ready To Move,Chandapura,2 BHK,,950,2.0,0.0,54.74263986770588
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1050,2.0,2.0,58.83691365803535
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,,1478,2.0,2.0,82.68573816335436
Super built-up  Area,Ready To Move,kanakapura main road,3 BHK,,1425,2.0,2.0,79.65600470687812
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1275,2.0,2.0,71.08128737722842
Built-up  Area,Ready To Move,Munnekollal,2 BHK,Akave E,1200,2.0,1.0,68.22273320240356
Built-up  Area,Ready To Move,Kammanahalli,8 Bedroom,,5540,6.0,,409.48147042344453
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1245,2.0,3.0,69.17294397186149
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Mantsm ,1133,2.0,1.0,64.39269279516003
Super built-up  Area,18-Dec,Kathreguppe,3 BHK,,1650,3.0,3.0,115.72165196667083
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Puitea ,1200,3.0,1.0,91.61970440715871
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,,900,2.0,1.0,104.18988839112424
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,993,2.0,1.0,56.38962328748697
Super built-up  Area,18-Feb,Panathur,1 BHK,,661,2.0,1.0,38.02861787314379
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1101,2.0,2.0,61.75231755011626
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Manetr ,785,2.0,1.0,44.499348590372705
Plot  Area,Ready To Move,Mysore Road,5 Bedroom,,1200,3.0,2.0,143.3074897651788
Super built-up  Area,Ready To Move,Vijaya Bank Layout,2 BHK,,1200,2.0,1.0,68.22273320240356
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1120,2.0,1.0,63.64955062659039
Super built-up  Area,18-Oct,Varthur,2 BHK,Soamsay,1210,2.0,1.0,68.79438102438021
Super built-up  Area,18-May,Electronic City Phase II,4 BHK,SNbay G,2150,4.0,2.0,168.51211648497684
Plot  Area,Ready To Move,Sundara Nagar,4 Bedroom,,1450,4.0,2.0,182.23106106991315
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1000,2.0,1.0,56.78977676287062
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1197,2.0,1.0,68.05123885581057
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shiaa S,695,1.0,1.0,15.95754698782774
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2.0,1.0,80.79898528588981
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,,1565,2.0,1.0,88.47017642926969
Super built-up  Area,Ready To Move,Sultan Palaya,4 BHK,RSntsAp,2200,3.0,3.0,146.54457990010494
Super built-up  Area,Ready To Move,Herohalli,2 BHK,,1200,2.0,1.0,68.22273320240356
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047,2.0,1.0,59.47652152616087
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,,1375,2.0,2.0,76.79776559699488
Plot  Area,Ready To Move,MS Pallya,2 Bedroom,,990,1.0,1.0,85.93774758415893
Built-up  Area,Ready To Move,Bagalur,4 BHK,Krton S,2400,4.0,2.0,182.80331203439303
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,71.03491785898194
Super built-up  Area,Ready To Move,Shanthinagar,2 BHK,,1080,2.0,2.0,60.551857123965306
Built-up  Area,Ready To Move,Omkar Nagar,3 BHK,,1200,3.0,2.0,90.8086021924402
Super built-up  Area,17-May,Chikkalasandra,3 BHK,,1348,2.0,1.0,76.06541869237643
Built-up  Area,18-Apr,Whitefield,2 BHK,,1170,2.0,1.0,66.50778973647363
Super built-up  Area,Ready To Move,Chandapura,2 BHK,PavesGr,806,2.0,2.0,44.88870680180516
Super built-up  Area,20-Dec,Jakkur,2 BHK,ArndsSk,1245,2.0,1.0,70.79514840129849
Built-up  Area,Ready To Move,"Sarjapur Road, ",4 Bedroom,,2200,4.0,3.0,170.55925338014157
Plot  Area,Ready To Move,Tumkur Road,6 Bedroom,,1200,5.0,2.0,190.71913444997057
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Brway G,1370,3.0,2.0,138.9563942611292
Carpet  Area,Ready To Move,Thanisandra,2 BHK,R ra  R,1449,2.0,2.0,81.64566175490359
Super built-up  Area,18-May,Kumbena Agrahara,3 BHK,,1355,3.0,,101.29134786251524
Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,,1240,2.0,3.0,68.88712006087316
Super built-up  Area,18-May,Devanahalli,3 BHK,Cerdsga,1290,2.0,1.0,72.74986132491188
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,70.05200623272884
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1212,2.0,1.0,68.90871058877555
Super built-up  Area,19-Dec,Chandapura,3 BHK,SuVue S,1225,3.0,1.0,93.04882396210033
Built-up  Area,Ready To Move,Hebbal,2 BHK,Arsil B,1070,2.0,2.0,59.98020930198865
Built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,,1974,3.0,2.0,135.0541436134327
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PualeSk,1711,3.0,1.0,120.83090811016538
Built-up  Area,Ready To Move,Jalahalli West,1 BHK,Prntsax,460,1.0,1.0,2.5238231713765202
Built-up  Area,17-Sep,Thanisandra,2 BHK,Bhmesy ,1276,2.0,2.0,71.75615443470758
Built-up  Area,18-May,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168,2.0,1.0,66.3934601720783
Super built-up  Area,Ready To Move,MS Pallya,2 BHK,,1200,2.0,0.0,69.03383541712206
Plot  Area,Ready To Move,Canara Bank Colony,9 Bedroom,,1650,9.0,3.0,309.8377713185033
Super built-up  Area,Ready To Move,Cunningham Road,4 BHK,,5400,4.0,3.0,353.4865564126688
Plot  Area,Ready To Move,Old Madras Road,9 Bedroom,,750,9.0,3.0,258.38946734060505
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,SSaleRo,1025,2.0,1.0,58.218896317812245
Super built-up  Area,18-Dec,Hebbal,3 BHK,SNontle,2526,3.0,2.0,166.60910338654367
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1853,3.0,2.0,128.1372049675153
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Kuownri,905,2.0,2.0,50.54802023937397
Plot  Area,Ready To Move,Hulimavu,5 Bedroom,,1500,5.0,3.0,207.675169169833
Super built-up  Area,18-Dec,Hebbal,3 BHK,Cehosy ,3485,5.0,2.0,269.45947647417745
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,47.92923552223259
Super built-up  Area,Ready To Move,Banashankari,3 BHK,V2anags,1440,2.0,,82.1356808692801
Super built-up  Area,Ready To Move,Hosur Road,4 BHK,Saageat,2800,4.0,2.0,205.66922491345892
Super built-up  Area,Ready To Move,Anekal,2 BHK,,732,1.0,2.0,16.643839439141303
Plot  Area,Ready To Move,Kothannur,4 Bedroom,,1200,5.0,,193.57674342997063
Super built-up  Area,Ready To Move,Hosapalya,9 BHK,,3000,9.0,,335.7092418062046
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,950,2.0,1.0,53.93153765298739
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098,2.0,2.0,61.580823203523266
Plot  Area,Ready To Move,Hegganahalli,3 Bedroom,,700,2.0,2.0,91.94582973687278
